"PRODUCT_ID","PRODUCT_NAME","PRODUCT_EXPLAIN","NET_TYPE_NAME","START_DATE","END_DATE","CASEWHENA.COMP_TAG='0'THEN'非?","CASEWHENA.PRODUCT_STATE='0'THE"
"10000101","GSM东丽单向卡","GSM东丽单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品","停售"
"10000106","GSM宝坻单向卡","GSM宝坻单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品",""
"40000052","GSM新大众卡","GSM新大众卡","普通GSM业务","2006/4/10","2050/1/1","非组合产品","审批"
"10000119","GSM公务45套餐","GSM公务45套餐","普通GSM业务","2006/11/1","2050/1/1","非组合产品","停售"
"30000027","07市话卡","07市话卡","普通GSM业务","2007/8/9","2050/1/1","非组合产品","停售"
"40000041","津塘卡","津塘卡","普通GSM业务","2004/1/1","2050/1/1","非组合产品",""
"40000013","员工卡1(50元)","员工卡1(50元)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"10000054","都市卡","都市卡","普通GSM业务","2004/4/12","2050/1/1","非组合产品","停售"
"99002142","WCDMA(3G)-226元基本套餐-A","WCDMA正式商用226元基本套餐-A。","WCDMA","2009/9/9","2050/1/1","非组合产品","在售"
"99002143","WCDMA(3G)-286元基本套餐-A","WCDMA正式商用286元基本套餐-A。","WCDMA","2009/9/9","2050/1/1","非组合产品","在售"
"50100001","VPN资费组合产品","VPN资费组合产品","集团业务","1997/7/19","2050/1/1","固定组合产品","停售"
"50000031","散户集团组合产品","散户集团组合产品","集团业务","1997/7/19","2050/1/1","固定组合产品",""
"50100000","IVPN小号组合产品","IVPN小号组合产品","集团业务","1997/7/19","2050/1/1","固定组合产品","在售"
"20000003","G校园套餐（DIY）","G校园套餐（DIY）","普通GSM业务","2006/4/10","2050/1/1","非组合产品","停售"
"20000004","校园套餐（新DIY含亲友）","校园套餐（新DIY含亲友）","普通GSM业务","2006/4/10","2050/1/1","非组合产品","停售"
"30000004","GSM大众卡M","GSM大众卡M","普通GSM业务","2008/3/1","2050/1/1","非组合产品","审批"
"20000005","校园套餐（校园联盟）","校园套餐（校园联盟）","PPS业务","2008/7/20","2050/1/1","非组合产品",""
"10000063","G网荣誉员工卡2代","G网荣誉员工卡2代","普通GSM业务","2004/1/1","2050/1/1","非组合产品",""
"10000110","GSM公务95套餐","GSM公务95套餐","普通GSM业务","2006/4/10","2050/1/1","非组合产品","停售"
"30000046","金盾定位卡","金盾定位卡","普通GSM业务","2006/5/1","2050/1/1","非组合产品",""
"10000079","公务套餐80","公务套餐80","普通GSM业务","2009/2/1","2050/1/1","非组合产品","停售"
