"套餐类型","套餐ID","套餐名称","套餐生效","失效时间","201905账期出账金额","201905账期出账用户数"
"BSS互联网","77440081","2M预付01个月 150元","2009/9/13","2050/12/31","0","0"
"BSS互联网","77440110","1M预付 3个月270元(假期)","2009/9/13","2050/12/31","0","0"
"BSS互联网","77446003","升速4后200M后付费(家庭)","2009/9/13","2050/12/31","27.33","1"
"BSS互联网","77440079","2M后付费每月4400(网吧)","2009/9/13","2050/12/31","0","0"
"BSS固定电话","80001590","BP中继(100元)","2009/8/22","2050/12/31","1915.39","18"
"BSS固定电话","80001608","甲种ISDN包月(90)","2009/8/22","2050/12/31","180","2"
"BSS固定电话","80001613","ISDN计费号码","2009/8/22","2050/12/31","52818.79","39"
"BSS数据通信","80000522","优惠0月租DDN业务","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80001156","亲情随身区县(39元)(1+3)","2009/8/22","2050/12/31","0","0"
"BSS广告传媒业务","85000026","各类电话卡广告","2009/8/22","2050/12/31","0","0"
"BSS广告传媒业务","85000030","手机广告其他","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80001108","亲情无线区县(104元)(1+3)","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80001123","亲情无线市区C(96元)(1+3)","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001307","固话亲情无线市区A(146元)(1+3)","2009/8/22","2050/12/31","0","0"
"BSS语音增值业务","80001256","全公免一号通","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001348","固话亲情无线市区B(86元)(1+2)","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001352","固话亲情无线市区C(76元)(1+2)","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001354","固话亲情无线市区C(136元)(1+2)","2009/8/22","2050/12/31","0","0"
"BSS互联网","80003117","VDSL公免电话","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80001514","亲情无线市区A(116元)(1+2)","2009/8/22","2050/12/31","0","0"
"BSS互联网","80004686","宽频极速C","2009/8/22","2050/12/31","0","0"
"BSS互联网增值业务","80002593","电脑","2009/8/22","2050/12/31","0","0"
"BSS公话","80002769","无线公话","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80002801","全公免","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80002806","阳光新锐B套餐","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80002820","亲情随身甲种套餐(30元500分钟)","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80002951","亲情套餐(20元包150分钟)","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80002961","亲情无线市区A(126元)","2009/8/22","2050/12/31","0","0"
"BSS数据通信","80002981","收费帧中继","2009/8/22","2050/12/31","36085","45"
"BSS互联网","80003026","乙B","2009/8/22","2050/12/31","840","4"
"BSS固定电话","80004914","共享时长(1+1+0+2)区县54元ADSL包月固话","2009/8/22","2050/12/31","63","4"
"BSS固定电话","80004920","共享时长(1+1+0+3)市区79元ADSL限时固话","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80004936","共享时长(1+1+1+1)市区49元ADSL包月小灵通","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80004938","共享时长(1+1+1+1)市区69元ADSL包月小灵通","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80004982","共享时长(1+1+1+2)区县49元ADSL包月小灵通","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80004984","共享时长(1+0+1+1)市区39元小灵通","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80004994","共享时长(1+0+1+2)区县49元小灵通","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80004995","共享时长(1+0+1+2)区县69元小灵通","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80005066","共享时长(1+0+1+3)市区134元套餐普通电话","2009/8/22","2050/12/31","57.2","1"
"BSS无线市话","80005103","共享时长(1+1+1+2)市区89元ADSL限时套餐小灵通","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80005107","共享时长(1+1+0+2)市区104元ADSL包月套餐普通电话","2009/8/22","2050/12/31","33.1","1"
"BSS固定电话","80004871","共享时长(1+0+1+3)市区84元套餐普通电话","2009/8/22","2050/12/31","0","0"
"BSS互联网","80002188","甲J","2009/8/22","2050/12/31","2900","40"
"BSS固定电话","80002193","专网","2009/8/22","2050/12/31","155030","35"
"BSS固定电话","80004803","共享时长(1+1+1+1)市区84元ADSL包月固话","2009/8/22","2050/12/31","102.64","4"
