"套餐类型","套餐ID","套餐名称","套餐生效","失效时间","201905账期出账金额","201905账期出账用户数"
"BSS移动","30000034","吉祥卡(武清)","2006/9/11","2050/1/1","5722.03","176"
"BSS移动","10000033","喜相逢北辰卡","2003/1/17","2050/1/1","321.6","7"
"BSS移动","40000042","新势力","2004/9/22","2050/1/1","0","0"
"BSS移动","40000026","员工卡8(400元)","2002/7/17","2050/1/1","0","0"
"BSS移动","10000077","尊贵400","2005/7/15","2050/1/1","0","0"
"BSS移动","10000106","GSM宝坻单向卡","2005/5/20","2050/1/1","0","0"
"BSS移动","20000005","校园套餐（校园联盟）","2008/7/20","2050/1/1","0","0"
"BSS移动","40000024","免全部通话费","2002/7/17","2050/1/1","0","0"
"BSS移动","30000006","休闲卡","2008/7/20","2050/1/1","0","0"
"BSS移动","40000051","GS1","1997/9/22","2004/1/1","0","0"
"BSS移动","10000082","GSM公务45套餐（双模）","2007/7/5","2050/1/1","0","0"
"BSS移动","30000031","吉祥卡(滨海)","2006/9/12","2050/1/1","0","0"
"BSS移动","30000015","GSM移动公话3","2002/11/18","2050/1/1","206.77","23"
"BSS移动","30000030","如意通虚拟产品","2001/1/1","2050/1/1","0","0"
"BSS移动","10000080","公务套餐100","2009/2/1","2050/1/1","4090.12","34"
"BSS移动","10000081","公务套餐200","2009/2/1","2050/1/1","3037.81","10"
"BSS移动","10000049","单向喜相逢津南卡","2004/4/12","2050/1/1","0","0"
"BSS移动","10000052","单向喜相逢武清卡","2004/4/12","2050/1/1","0","0"
"BSS移动","40000017","员工卡5(免本地本网)","2002/7/17","2050/1/1","0","0"
"BSS移动","10000095","GSM工薪卡45A","2005/5/20","2050/1/1","969.66","15"
"BSS移动","10000113","公务卡45标准版","2005/4/15","2050/1/1","0","0"
"BSS移动","10000007","GSM综合智能网公务卡","2006/10/1","2050/1/1","384.57","3"
"BSS移动","10000098","GSM滨海单向卡","2005/5/20","2050/1/1","119.5","3"
"BSS移动","10000028","喜相逢汉沽卡","2003/1/17","2050/1/1","502.5","12"
"BSS移动","10000057","国际先锋卡","2002/8/1","2050/1/1","546","4"
"BSS移动","30000023","G网预付费大众卡(预付话费60)","2007/9/29","2050/1/1","0","0"
"BSS移动","10000022","自由卡2","2002/7/17","2050/1/1","111.5","1"
"BSS移动","40000011","天分折扣方案3(250元)","2002/7/17","2050/1/1","0","0"
"BSS移动","40000028","任我行168卡","2002/7/17","2050/1/1","0","0"
"BSS移动","99002131","3G-套餐减半113","2000/1/1","2050/1/1","0","0"
"BSS移动","99002306","WCDMA(3G)-156元iPhone套餐","2000/1/1","2050/1/1","7303.68","40"
"BSS移动","99002312","WCDMA(3G)-886元iPhone套餐","2000/1/1","2050/1/1","1506.2","2"
"BSS移动","99002158","WCDMA(3G)-无线上网卡80元套餐","2009/9/9","2050/1/1","25863.9","297"
"BSS移动","99002146","WCDMA(3G)-886元基本套餐-A","2009/9/9","2050/1/1","33077.11","49"
"BSS移动","78000041","WCDMA(3G)-286元iPhone套餐(OCS)","2000/1/1","2050/1/1","296","1"
"BSS移动","78000043","WCDMA(3G)-586元iPhone套餐(OCS)","2000/1/1","2050/1/1","0","0"
"BSS移动","81090015","商机在沃-3G手机套餐386月租-成员套餐","2009/12/29","2050/1/1","10841.9","27"
"BSS移动","85000039","校园部落3G上网卡体验版（30元）","2010/2/23","2050/12/31","0","0"
"BSS移动","81000155","VPDN上网卡","1997/7/19","2050/12/31","798.3","103"
"BSS移动","85000054","GSM公务80套餐（军旅版）","2009/2/1","2050/1/1","198","6"
"BSS移动","81091013","商机在沃-3G手机套餐96月租-成员套餐","2010/6/24 21:49:18","2050/12/31","18005.7","169"
"BSS移动","87990048","单卡本地OCS上网卡150元","2009/9/9","2050/1/1","0","0"
"BSS移动","87990052","1200元本地OCS上网卡200元","2009/9/9","2050/1/1","0","0"
"BSS移动","99003821","沃3G预付费66元套餐B(OCS)","2000/1/1","2050/1/1","11321.81","119"
"BSS移动","23000101","共享时长(1+0+1+2)区县39元灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000102","共享时长(1+0+1+2)区县49元灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000105","共享时长(1+1+1+3)市区89元ADSL包月套餐灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000124","共享时长(1+0+1+2)市区89元套餐灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","87990248","盘锦福瑞电子数据卡专属套餐","2011/6/20","2050/12/31","600","4"
"BSS移动","23000139","共享时长(1+1+1+1)市区69元ADSL包月灵通升级2G","2011/4/1","2050/12/31","18","1"
"BSS移动","23000142","共享时长(1+1+1+1)区县69元ADSL包月灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000148","共享时长(1+1+1+2)市区69元ADSL包月灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23001103","灵通升级-亲情随身区县(59元)","2011/4/1","2050/12/31","178.84","7"
"BSS移动","89990065","2GOCS新势力短信套餐","2011/10/1","2050/1/1","2510.38","84"
"BSS移动","23001114","灵通升级-区县亲情1+生活套餐小灵通","2011/4/1","2050/12/31","0","0"
"BSS移动","23001121","灵通升级-亲情无线市区A(146元)","2011/4/1","2050/12/31","652.12","23"
"BSS移动","23000162","灵通升级-2G阳光新锐A套餐","2011/11/1","2050/12/31","0","0"
"BSS移动","89990066","2GOCS标准套餐（休闲卡）","2011/10/1","2050/1/1","71207.93","6770"
"BSS移动","99005961","3G-预付费HSPA+无线上网卡200元套餐","2011/5/1","2050/1/1","0","0"
"BSS移动","99005941","WCDMA(3G)-预付费无线上网卡80元套餐(OCS)","2011/5/1","2050/1/1","0","0"
"BSS移动","80995883","行业应用警务通初始资费套餐","2011/10/1","2050/12/31","44701.34","8857"
"BSS移动","82941003","组合沃商务G网标准套餐","2011/5/1","2050/12/31","0","0"
"BSS移动","89990072","2GOCS校园套餐（校园联盟测试）","2011/11/1","2050/1/1","50.68","1"
"BSS移动","89990073","2GOCS如意休闲卡","2011/11/1","2050/1/1","6615.3","272"
"BSS移动","87990247","WCDMA(3G)-无线上网卡960元包年套餐(OCS)","2009/9/9","2050/1/1","560","7"
"BSS移动","87990033","行业应用年付费6000元500G专网无线上网卡产品A2套餐","2011/1/1","2050/12/31","0","0"
"BSS移动","78000045","WCDMA(3G)-66元iPhone套餐(OCS)","2011/4/1","2050/12/31","0","0"
"BSS移动","81002954","灵通升级—2G亲情套餐50元（1000）","2009/9/9","2050/1/1","186048.87","3364"
"BSS移动","99005052","WCDMA(3G)-96元基本套餐C","2010/12/1","2050/1/1","78127.16","763"
"BSS移动","81003961","灵通升级-2G津灵通","2009/9/9","2050/1/1","100198.58","5355"
"BSS移动","82990023","行业应用共享流量专网无线上网卡45元成员套餐","2010/12/14 21:05:54","2050/12/31","99540","2212"
"BSS移动","99006227","3G-沃派36元预付费套餐(OCS)","2011/7/1","2050/12/31","348.03","4"
"BSS移动","82961005","亲情随身手机版49元2G成员产品(市区)","2011/1/1","2050/12/31","154300.87","5164"
"BSS移动","99004512","沃家庭无线上网卡20元月套餐","2011/1/1","2050/1/1","0","0"
"BSS移动","82951007","亲情无线手机版2G成员产品(区县)","2011/1/1","2050/12/31","287580.6","10528"
"BSS移动","99003995","WCDMA(3G)-无线上网卡6GB包年套餐(OCS)","2010/12/1","2050/1/1","0","0"
"BSS移动","80010012","灵通升级-2G35元包月(1000分钟)","2009/9/9","2050/1/1","967470.82","24851"
"BSS移动","87990134","行业应用小流量本地无线上网卡B1套餐","2011/1/1","2050/1/1","0","0"
"BSS移动","82961010","亲情随身手机版39元2G成员产品","2011/3/1","2050/12/31","206744.52","8172"
"BSS移动","99005979","3G-66元预付费套餐C(OCS)","2011/5/1","2050/12/31","0","0"
"BSS移动","99005977","3G-46元预付费套餐C(OCS)","2011/5/1","2050/12/31","187.28","4"
"BSS移动","99005818","集团专属3G标准产品-大流量数据卡500元包25GB定向流量套餐","2012/8/1","2050/1/1","77592.3","157"
"BSS移动","99102142","3G-预付费HSPA+无线上网卡标准资费（省分）","2012/4/1","2050/1/1","0","0"
"BSS移动","99104482","沃3G预付费20元卡产品包3","2012/6/1","2050/12/31","0","0"
"BSS移动","99104483","沃3G预付费20元卡产品包4","2012/6/1","2050/12/31","0","0"
"BSS移动","87991043","行业应用大流量本地无线上网卡A3套餐","2012/8/1","2050/1/1","0","0"
"BSS移动","88105002","集团专属iPhone 186套餐","2012/7/1","2050/12/31","288","1"
"BSS移动","87990057","WCDMA(3G)-无线上网卡80元漫游版套餐(OCS)","2013/7/1","2050/1/1","0","0"
"BSS移动","82971049","石化融合自由版沃家庭2G成员产品","2013/4/1","2050/12/31","0","0"
"BSS移动","82971043","石化融合沃A2G成员产品","2013/2/1","2050/12/31","5449.53","129"
"BSS移动","82971037","沃家庭自由版2G成员产品(区县)","2012/9/1","2050/12/31","4184.05","123"
"BSS移动","88110502","3G车沃通-15套餐A","2013/8/1","2050/12/31","0","0"
"BSS移动","88108750","广告传媒行业数据卡专属套餐3-1800元成员","2013/5/1","2050/12/31","0","0"
"BSS移动","88108747","广告传媒行业数据卡专属套餐2-75元","2013/5/1","2050/1/1","0","0"
"BSS移动","88108748","广告传媒行业数据卡专属套餐2-110元","2013/5/1","2050/1/1","0","0"
"BSS移动","99114166","天津2G/3G融合-56元套餐-预付费","2013/10/1","2050/12/31","9476.85","92"
"BSS移动","20000016","市话套餐(G网)","2006/8/1","2050/1/1","12309.54","173"
"BSS移动","88114144","行业应用5元包40MB国内定向套餐","2014/1/1","2050/12/31","0","0"
"BSS移动","88114147","行业应用80元包3GB国内定向流量套餐","2014/1/1","2050/12/31","0","0"
"BSS移动","88109625","行业应用56元包2GB定向数据流量","2014/3/1","2050/1/1","0","0"
"BSS移动","88115164","3G车沃通-95元套餐C","2014/6/1","2050/12/31","0","0"
"BSS移动","99118465","沃派36元流量王套餐（16版）-预付费","2014/8/1","2050/12/31","931614.32","19623"
"BSS移动","99118467","沃派36元流量王套餐（16版）-后付费","2014/8/1","2050/12/31","246159.76","5494"
"BSS移动","88117508","邮政集团专属21元2G/3G 融合套餐","2014/9/1","2050/12/31","0","0"
"BSS移动","88117516","邮政集团专属175元3G套餐","2014/9/1","2050/12/31","0","0"
"BSS移动","88117520","邮政集团专属10元包60M省内定向流量套餐","2014/9/1","2050/12/31","0","0"
"BSS移动","88120384","苏宁物流自提柜大流量48元包1.5GB省内公网流量套餐（已升级为全国流量）","2016/3/1","2050/12/31","0","0"
"BSS移动","99006236","流量王-96元档套餐（后付费）","2016/12/1","2050/12/31","337.4","5"
"BSS移动","88124302","4G本地套餐-69元","2017/3/1","2050/12/31","17734.26","192"
"BSS移动","80010520","积木套餐副卡","2017/10/1","2050/1/1","0","0"
"BSS移动","99118512","日租卡（9元）","2018/5/1","2050/12/31","0","0"
"BSS移动","99130958","沃小号专属套餐","2018/7/1","2050/1/1","0","0"
"BSS移动","88123458","4G畅爽冰激凌套餐（政企专属）-99元/月","2018/7/1","2050/12/31","120632.99","1207"
"BSS移动","23000539","迁网不改号-2G 亲情套餐30元包500分钟（新）","2018/8/1","2050/12/31","0","0"
"BSS移动","23000542","迁网不改号-2G 35元包1000分钟（新）","2018/8/1","2050/12/31","0","0"
"BSS移动","10000116","公务卡78标准版","2005/4/15","2050/1/1","0","0"
"BSS移动","10000014","本地通二代","2002/5/23","2050/1/1","40","1"
"BSS移动","20000011","短信套餐A","2006/5/1","2050/1/1","0","0"
"BSS移动","40000007","免市话,国长,漫游月租","2002/7/17","2050/1/1","0","0"
"BSS移动","40000012","天分折扣方案4(300元)","2002/7/17","2050/1/1","0","0"
"BSS移动","40000031","漫游卡4代","2002/7/17","2050/1/1","0","0"
"BSS移动","40000049","MT3","1997/9/22","2004/1/1","0","0"
"BSS移动","10000078","公务套餐50","2009/2/1","2050/1/1","23290.56","370"
"BSS移动","40000040","GSM集团30卡","2003/9/16","2050/1/1","0","0"
"BSS移动","10000065","商旅卡58GSM","2006/3/24","2050/1/1","73","1"
"BSS移动","10000101","GSM东丽单向卡","2005/5/20","2050/1/1","93.1","2"
"BSS移动","10000119","GSM公务45套餐","2006/11/1","2050/1/1","52806.3","836"
"BSS移动","10000054","都市卡","2004/4/12","2050/1/1","0","0"
"BSS移动","10000063","G网荣誉员工卡2代","2004/1/1","2050/1/1","0","0"
"BSS移动","30000041","吉祥卡(西青)","2006/9/1","2050/1/1","0","0"
"BSS移动","10000089","至尊198","2007/1/1","2050/1/1","491.16","2"
"BSS移动","10000099","GSM汉沽单向卡","2005/5/20","2050/1/1","0","0"
"BSS移动","10000060","GSM集团80卡","2003/9/16","2050/1/1","767.97","7"
"BSS移动","30000019","智能网大众卡(30元初始话费-散号)","2007/10/25","2050/1/1","0","0"
"BSS移动","40000008","免全部通话费","2002/7/17","2050/1/1","0","0"
"BSS移动","10000073","GSM心连心198（双模）","2005/7/15","2050/1/1","0","0"
"BSS移动","30000002","如意通休闲卡","2007/9/11 21:25:09","2050/1/1","0","0"
"BSS移动","10000004","GSM漫游卡200（双模）","2006/6/1","2050/1/1","0","0"
"BSS移动","30000028","07长途卡","2007/8/9","2050/1/1","32.05","2"
"BSS移动","10000029","喜相逢大港卡","2003/1/17","2050/1/1","1091.88","17"
"BSS移动","10000041","GSM卓越联合卡","2003/7/7","2050/1/1","3050.82","20"
"BSS移动","10000044","单向喜相逢宝坻卡","2004/4/12","2050/1/1","0","0"
"BSS移动","30000021","智能网大众卡(0元初始话费-整号)","2006/4/20","2050/1/1","0","0"
"BSS移动","30000025","蓟县电厂家属套餐","2006/9/15","2050/1/1","250.21","10"
"BSS移动","99000211","3G标准资费","2000/1/1","2050/1/1","0","0"
"BSS移动","99000224","3G-基本套餐186","2000/1/1","2050/1/1","0","0"
"BSS移动","99000226","3G-基本套餐286","2000/1/1","2050/1/1","0","0"
"BSS移动","99000229","3G-基本套餐886","2000/1/1","2050/1/1","0","0"
"BSS移动","70000001","本地无线上网卡1元","2009/8/8","2050/1/1","0","0"
"BSS移动","21000325","新势力校园套餐(09版)","2009/7/31","2050/1/1","2233.64","62"
"BSS移动","99002130","3G-套餐减半93","2000/1/1","2050/1/1","0","0"
"BSS移动","99000302","WCDMA(3G)-无线上网卡300元套餐","2009/9/9","2050/1/1","5400","18"
"BSS移动","78000015","WCDMA(3G)-96元基本套餐A(OCS)","2009/9/9","2050/1/1","0","0"
"BSS移动","31090005","吉祥卡(宝坻)(长话一费制)","2009/12/30","2050/12/31","3669","118"
"BSS移动","31090007","吉祥卡(汉沽)(长话一费制)","2009/12/30","2050/12/31","314","12"
"BSS移动","85000065","行业应用小流量专网无线上网卡基础套餐","2009/9/9","2050/1/1","8905.15","540"
"BSS移动","87990047","单卡本地OCS上网卡80元","2009/9/9","2050/1/1","3323.88","42"
"BSS移动","87990050","1200元本地OCS上网卡80元","2009/9/9","2050/1/1","372.82","4"
"BSS移动","85000042","校园部落Femto上网卡（15元）","2010/2/23","2050/12/31","0","0"
"BSS移动","89990016","新势力市话套餐（10版）","2010/8/12 21:26:44","2050/12/31","2367.66","30"
"BSS移动","89990325","新势力校园套餐（10版）","2010/8/12 21:26:44","2050/12/31","2184.12","72"
"BSS移动","23000125","共享时长(1+1+1+1)区县89元ADSL包月套餐灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000126","共享时长(1+1+1+2)区县89元ADSL包月套餐灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000127","共享时长(1+0+1+1)区县89元套餐灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000134","共享时长(1+1+1+1)市区49元ADSL限时灵通升级2G","2011/4/1","2050/12/31","36","2"
"BSS移动","23000135","共享时长(1+1+1+1)市区39元ADSL包月灵通升级2G","2011/4/1","2050/12/31","18","1"
"BSS移动","23000140","共享时长(1+1+1+1)区县39元ADSL包月灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000144","共享时长(1+1+1+2)市区39元ADSL包月灵通升级2G","2011/4/1","2050/12/31","15","1"
"BSS移动","23001116","灵通升级-亲情随身市区(36元)","2011/4/1","2050/12/31","10074.78","541"
"BSS移动","23001117","灵通升级-亲情随身市区(46元)","2011/4/1","2050/12/31","5339.76","195"
"BSS移动","23001119","灵通升级-亲情无线区县(74元)","2011/4/1","2050/12/31","2752.79","183"
"BSS移动","23001122","灵通升级-亲情无线市区A(186元)","2011/4/1","2050/12/31","1528.26","33"
"BSS移动","23001126","灵通升级-亲情无线市区C(96元)","2011/4/1","2050/12/31","0","0"
"BSS移动","23000164","灵通升级-2G月租18元（赠来显）","2011/11/1","2050/12/31","0","0"
"BSS移动","89990079","2GOCS吉祥卡(静海)","2011/10/1","2050/1/1","293.32","10"
"BSS移动","99005969","省分预付费无线上网卡产品包1","2011/5/1","2050/1/1","0","0"
"BSS移动","99005972","省分预付费无线上网卡产品包4","2011/5/1","2050/1/1","0","0"
"BSS移动","99005942","WCDMA(3G)-预付费无线上网卡150元套餐(OCS)","2011/5/1","2050/1/1","0","0"
"BSS移动","82981006","沃家庭套餐2G成员产品(区县)","2010/11/1","2050/12/31","174","17"
"BSS移动","78000036","WCDMA(3G)-96元iPhone套餐(OCS)","2011/4/1","2050/12/31","106","1"
"BSS移动","99005934","WCDMA(3G)-46元基本套餐C","2011/4/1","2050/1/1","381382.8","6060"
"BSS移动","81004961","灵通升级-2G时尚津灵通","2009/9/9","2050/1/1","1394.24","45"
"BSS移动","82971009","亲情1+3G版2G成员产品(市区)","2010/12/1","2050/12/31","4947.71","171"
"BSS移动","82971010","亲情1+3G版2G成员产品(区县)","2010/12/1","2050/12/31","2862.11","73"
"BSS移动","82961007","亲情随身手机版79元2G成员产品(市区)","2011/1/1","2050/12/31","66755.24","1317"
"BSS移动","81001579","区县版亲情在线（无线宽带版C）","2010/11/1","2050/1/1","0","0"
"BSS移动","99005802","集团专属3G标准产品-小流量数据卡20元包200M定向流量套餐","2012/8/1","2050/1/1","29533.58","1408"
"BSS移动","99005810","集团专属3G标准产品-大流量数据卡40元包600M定向流量套餐","2012/8/1","2050/1/1","640","16"
"BSS移动","82220028","沃商务2G成员产品","2012/2/14","2050/12/31","387481.94","7927"
"BSS移动","99005946","本地150元包6G上网卡(OCS)","2012/1/1","2050/1/1","0","0"
"BSS移动","82961015","亲情随身加装增值免费享受版套餐2G成员主角色产品","2012/7/1","2050/12/31","0","0"
"BSS移动","31000043","石化大众卡26","2013/1/1","2050/12/31","0","0"
"BSS移动","88109243","行业应用150元包10GB本地定向流量套餐","2013/4/1","2050/12/31","0","0"
"BSS移动","88109244","行业应用200元包15GB本地定向流量套餐","2013/4/1","2050/12/31","0","0"
"BSS移动","20000504","行业彩信","2013/7/1","2050/12/31",".8","1"
"BSS移动","87990062","WCDMA(3G)-本地无线上网卡80元月卡套餐(OCS)","2013/7/1","2050/1/1","0","0"
"BSS移动","88108744","广告传媒行业数据卡专属套餐1-25元","2013/5/1","2050/1/1","0","0"
"BSS移动","88109623","行业应用6元包50MB国内定向流量与10条短信套餐","2013/6/1","2050/1/1","0","0"
"BSS移动","40000043","MT2","1997/9/22","2004/1/1","0","0"
"BSS移动","80010037","一卡多号-后付费","2013/10/1","2050/12/31","0","0"
"BSS移动","87990065","日本樱花国际漫游上网卡7日卡(OCS)","2014/1/1","2050/1/1","0","0"
"BSS移动","88109628","行业应用140元包7GB定向数据流量","2014/3/1","2050/1/1","0","0"
"BSS移动","88109630","行业应用350元包25GB定向数据流量","2014/3/1","2050/1/1","0","0"
"BSS移动","80001176","小区短信B类产品","2014/6/1","2050/12/31","0","0"
"BSS移动","82990056","行业应用小流量专网无线上网卡产品A7套餐","2014/5/1","2050/12/31","0","0"
"BSS移动","99118466","沃派56元流量王套餐（16版）-预付费","2014/8/1","2050/12/31","65608.79","736"
"BSS移动","80010041","3G副卡","2014/7/1","2050/1/1","1.22","1"
"BSS移动","87990086","国人快线“信天游”专用预付费半年卡100元套餐","2014/10/1","2050/1/1","0","0"
"BSS移动","88121317","全国1%人口调查专用3G上网卡","2015/9/1","2050/12/31","0","0"
"BSS移动","82990193","行业应用共享流量本地定向无线上网卡产品-河北环卫-成员产品","2015/10/1","2050/12/31","0","0"
"BSS移动","88120376","苏宁物流自提柜小流量16元包300MB国内公网流量套餐","2016/3/1","2050/12/31","0","0"
"BSS移动","88120377","苏宁物流自提柜小流量24元包500MB国内公网流量套餐","2016/3/1","2050/12/31","0","0"
"BSS移动","82990271","行业应用财政局CA套餐1-预付费","2016/6/1","2050/12/31","0","0"
"BSS移动","88123406","4G全国套餐-56元","2016/7/1","2050/12/31","6925.08","104"
"BSS移动","88123410","4G全国套餐-166元","2016/7/1","2050/12/31","15493.17","107"
"BSS移动","88124327","津燃华润燃气有限公司燃气管道巡检专网大流量卡成员套餐","2017/4/1","2050/12/31","4200","105"
"BSS移动","88123416","畅爽全国冰激凌套餐198元","2017/5/1","2050/12/31","2923308.01","15794"
"BSS移动","99011099","一号多卡2G后付费附卡产品","2017/5/2","2050/12/31","0","0"
"BSS移动","99118504","1元3G套餐","2017/8/1","2050/12/31","0","0"
"BSS移动","99005819","80元10G全国流量专网无线上网卡产品","2018/4/1","2050/1/1","1680.1","21"
"BSS移动","23000537","迁网不改号-2G 亲情套餐20元包150分钟（新）","2018/8/1","2050/12/31","0","0"
"BSS移动","23000538","迁网不改号-2G 亲情套餐20元包200分钟（新）","2018/8/1","2050/12/31","0","0"
"BSS移动","10000112","公务卡78来显版","2005/4/15","2050/1/1","0","0"
"BSS移动","30000037","吉祥卡(汉沽)","2006/9/1","2050/1/1","933.6","33"
"BSS移动","30000043","如意大众卡GSM","2006/5/1","2050/1/1","948711.22","24160"
"BSS移动","10000037","喜相逢宝坻卡","2003/1/17","2050/1/1","773.95","12"
"BSS移动","40000001","奥运卡1(70-148.8)","2002/7/17","2050/1/1","0","0"
"BSS移动","40000052","GSM新大众卡","2006/4/10","2050/1/1","0","0"
"BSS移动","30000027","07市话卡","2007/8/9","2050/1/1","18685.56","1095"
"BSS移动","40000041","津塘卡","2004/1/1","2050/1/1","0","0"
"BSS移动","99002143","WCDMA(3G)-286元基本套餐-A","2009/9/9","2050/1/1","689651.57","2484"
"BSS移动","20000004","校园套餐（新DIY含亲友）","2006/4/10","2050/1/1","91.1","4"
"BSS移动","10000110","GSM公务95套餐","2006/4/10","2050/1/1","12155.28","90"
"BSS移动","20000009","校园新休闲B卡","2004/9/22","2050/1/1","165.97","5"
"BSS移动","30000011","无月租本地通","2002/5/23","2050/1/1","60.8","10"
"BSS移动","40000005","免市话,月租","2002/7/17","2050/1/1","0","0"
"BSS移动","30000005","2008如意卡","2008/7/20","2050/1/1","0","0"
"BSS移动","10000032","喜相逢西青卡","2003/1/17","2050/1/1","444.1","10"
"BSS移动","30000017","标准套餐（休闲卡）","2007/11/22","2050/1/1","642151.95","48094"
"BSS移动","10000076","尊贵300","2005/7/15","2050/1/1","0","0"
"BSS移动","10000067","商旅卡200GSM","2006/3/24","2050/1/1","0","0"
"BSS移动","10000069","商旅卡500GSM","2006/3/24","2050/1/1","0","0"
"BSS移动","10000008","公务卡45优惠版","2005/4/15","2050/1/1","45","1"
"BSS移动","40000033","无线公话","2002/7/27","2050/1/1","0","0"
"BSS移动","10000072","GSM心连心158（双模）","2005/7/15","2050/1/1","0","0"
"BSS移动","10000055","新军民卡","2004/6/14","2050/1/1","405.7","6"
"BSS移动","10000087","至尊118","2007/1/1","2050/1/1","0","0"
"BSS移动","10000051","单向喜相逢宁河卡","2004/4/12","2050/1/1","0","0"
"BSS移动","30000020","GSM汽车防盗卡","2007/3/1","2050/1/1","0","0"
"BSS移动","10000024","荣誉员工卡(RYG)","2002/9/12","2050/1/1","2547.91","80"
"BSS移动","20000018","新势力校园套餐A","2006/8/1","2050/1/1","101","1"
"BSS移动","40000015","员工卡3(150元)","2002/7/17","2050/1/1","0","0"
"BSS移动","10000066","商旅卡120GSM","2006/3/24","2050/1/1","0","0"
"BSS移动","30000007","团圆套餐（长途卡）","2008/7/20","2050/1/1","0","0"
"BSS移动","10000083","GSM公务75套餐（双模）","2007/7/5","2050/1/1","0","0"
"BSS移动","21000326","新势力短信套餐(09版)","2009/7/31","2050/1/1","11551.63","394"
"BSS移动","99002134","3G-套餐减半293","2000/1/1","2050/1/1","0","0"
"BSS移动","99002133","3G-套餐减半193","2000/1/1","2050/1/1","0","0"
"BSS移动","99002307","WCDMA(3G)-186元iPhone套餐","2000/1/1","2050/1/1","31179.69","149"
"BSS移动","99002147","WCDMA(3G)-66元基本套餐A","2009/10/1","2050/1/1","126758.49","1432"
"BSS移动","78000026","WCDMA(3G)-无线上网卡200元套餐(OCS)","2009/9/9","2050/1/1","0","0"
"BSS移动","78000039","WCDMA(3G)-186元iPhone套餐(OCS)","2000/1/1","2050/1/1","0","0"
"BSS移动","78000040","WCDMA(3G)-226元iPhone套餐(OCS)","2000/1/1","2050/1/1","0","0"
"BSS移动","85000038","校园部落3G上网卡体验版（15元）","2010/2/23","2050/12/31","0","0"
"BSS移动","99003578","WCDMA(3G)-126元基本套餐B","2000/1/1","2050/1/1","212588.36","1627"
"BSS移动","99003579","WCDMA(3G)-156元基本套餐B","2000/1/1","2050/1/1","96555.65","588"
"BSS移动","31090002","吉祥卡(静海)(长话一费制)","2009/12/30","2050/12/31","1577.06","52"
"BSS移动","31090003","吉祥卡(宁河)(长话一费制)","2009/12/30","2050/12/31","1101.14","41"
"BSS移动","82993400","订餐宝","2010/6/8","2050/12/31","0","0"
"BSS移动","23000104","共享时长(1+1+1+3)市区89元ADSL限时套餐灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000106","共享时长(1+0+1+3)市区89元套餐灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000111","共享时长(1+1+1+3)区县49元ADSL包月套餐灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000112","共享时长(1+1+1+1)市区89元ADSL限时套餐灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000120","共享时长(1+1+1+3)市区49元ADSL包月套餐灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23000146","共享时长(1+1+1+2)市区49元ADSL包月灵通升级2G","2011/4/1","2050/12/31","0","0"
"BSS移动","23001102","灵通升级-亲情随身区县(39元)","2011/4/1","2050/12/31","518.59","22"
"BSS移动","89990064","2GOCS新势力校园套餐","2011/10/1","2050/1/1","339.84","8"
"BSS移动","23001109","灵通升级-亲情无线市区B(106元)","2011/4/1","2050/12/31","58.4","2"
"BSS移动","89990082","2GOCS吉祥卡(蓟县)","2011/10/1","2050/1/1","661.47","22"
"BSS移动","89990083","2GOCS吉祥卡(宁河)","2011/10/1","2050/1/1","136.3","3"
"BSS移动","99005962","3G-预付费HSPA+无线上网卡300元套餐","2011/5/1","2050/1/1","0","0"
"BSS移动","99005970","省分预付费无线上网卡产品包2","2011/5/1","2050/1/1","0","0"
"BSS移动","99005971","省分预付费无线上网卡产品包3","2011/5/1","2050/1/1","0","0"
"BSS移动","99005943","WCDMA(3G)-预付费无线上网卡200元套餐(OCS)","2011/5/1","2050/1/1","0","0"
"BSS移动","23000049","20元800M流量共享-成员套餐","2011/9/1","2050/12/31","0","0"
"BSS移动","10995885","2GOCS如意通休闲亲情套餐","2011/11/1","2050/12/31","0","0"
"BSS移动","87990147","WCDMA(3G)-无线上网卡480元半年套餐(OCS)","2009/9/9","2050/1/1","3771.23","42"
"BSS移动","89993582","WCDMA(3G)-46元基本套餐B(OCS)","2011/3/1","2050/12/31","198.05","3"
"BSS移动","89993583","WCDMA(3G)-46元基本套餐C(OCS)","2011/3/1","2050/12/31","1381.1","3"
